City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
211,manaure,11.7751,-72.4445,27.7,78,11,9.61,CO,1720413092
212,popondetta,-8.7537,148.2534,28.94,55,99,2.95,PG,1720413093
213,homer,59.6425,-151.5483,15.93,74,100,3.6,US,1720413094
214,pisco,-13.7,-76.2167,15.03,94,100,1.03,PE,1720413097
215,kingston,17.997,-76.7936,29.53,66,20,2.57,JM,1720413098
216,mount isa,-20.7333,139.5,27.87,42,75,2.06,AU,1720413099
217,benguela,-12.5763,13.4055,18.03,89,21,0.98,AO,1720413100
218,geraldton,-28.7667,114.6,19.23,77,20,8.23,AU,1720413018
219,port-vila,-17.7338,168.3219,23.78,69,75,5.14,VU,1720413103
220,san fernando,15.0286,120.6898,25.28,88,100,1.55,PH,1720413104
221,aasiaat,68.7098,-52.8699,3.54,95,70,6.46,GL,1720413107
222,ende,-8.8432,121.6623,27.0,70,80,4.16,ID,1720413108
223,margate,51.3813,1.3862,10.94,89,2,3.62,GB,1720413109
224,muroto-misakicho,33.2833,134.15,26.9,87,99,6.03,JP,1720413111
225,zaozersk,69.4005,32.4476,15.81,74,0,10.92,RU,1720413112
226,polyarnyy,69.1989,33.4478,16.14,72,6,10.34,RU,1720413113
227,mil'kovo,55.6078,37.7956,21.91,63,1,1.93,RU,1720413114
228,college,64.8569,-147.8028,13.99,78,75,4.12,US,1720412936
229,tofol,5.3248,163.0078,30.88,70,100,5.14,FM,1720413117
230,korla,41.7597,86.1469,31.52,23,31,1.44,CN,1720413118
231,beypazari,40.1675,31.9211,23.02,48,0,1.11,TR,1720413119
232,belmonte,-15.8631,-38.8828,22.0,88,50,1.04,BR,1720413121
233,raduzhny,62.0961,77.475,21.53,45,1,5.44,RU,1720413122
234,porto novo,6.4965,2.6036,23.83,93,99,2.43,BJ,1720413123
235,slavyanka,42.8633,131.3847,21.9,83,100,1.49,RU,1720413124
236,santa maria del oro,25.9333,-105.3667,20.36,71,90,1.44,MX,1720413126
237,sabha,27.0377,14.4283,26.15,26,0,4.14,LY,1720413127
238,wad medani,14.4012,33.5199,26.78,58,97,5.55,SD,1720413128
239,tahe,52.3333,124.7333,28.32,23,0,3.5,CN,1720413129
240,fale old settlement,-9.3852,-171.2468,28.69,75,65,6.15,TK,1720413131
241,cabedelo,-6.9811,-34.8339,22.37,78,45,5.0,BR,1720413132
242,menaka,15.9182,2.4022,27.05,57,97,6.41,ML,1720413133
243,oranjemund,-28.55,16.4333,12.08,63,10,4.32,NA,1720413134
244,chardara,41.2547,67.9692,29.17,35,5,2.62,KZ,1720413136
245,brandon,27.9378,-82.2859,29.4,87,0,0.0,US,1720413005
246,lensk,60.7253,114.9278,32.33,23,82,3.07,RU,1720413138
247,kavaratti,10.5669,72.642,28.19,82,99,7.1,IN,1720413139
248,coquimbo,-29.9533,-71.3436,7.85,100,0,1.54,CL,1720413141
249,morehead,37.2711,-87.1764,21.66,96,0,0.0,US,1720413142
250,chegdomyn,51.1167,133.0167,14.2,89,100,1.57,RU,1720412951
